"keys","en"
"Bruja","Witch"
"Guardián","Guardian"
"Herida","Injured woman"
"Ciudadano","Townsman"
"Parroquiano","Regular"
"NPC","Villager"
"Benjamín","Benjamín"
"Emilia","Emilia"
"Alicanto","Alicanto"
"Yastay","Yastay"
"Carmen","Carmen"
"El camino se parte en dos.","The path splits in two."
"Por la izquierda hay algo brillando.","There's something shining on the left."
"Por la derecha hay alguien tirado en el suelo. Se está quejando.","On the right there's someone lying on the ground. They're moaning."
"...","..."
"Tu Eliges, Emilia.","You choose, Emilia."
"No... no se acerquen al oro. Por favor.","No... don't go near the gold. Please."
"Vine con mi hermano. Él agarró un puñado y el suelo... el suelo no estaba.","I came with my brother. He grabbed a handful and the ground... the ground wasn't there."
"Quedate quieto. Te vamos a ayudar.","Stay still. We're going to help you."
"Hay algo mirando desde el fondo del barranco. Nos estuvo mirando todo el tiempo.","There's something watching from the bottom of the ravine. It was watching us the whole time."
"Tres bajaron hoy a mi quebrada.","Three came down into my ravine today."
"El primero corrió al oro y el oro se lo tragó.","The first one ran to the gold, and the gold swallowed him."
"El segundo corrió al oro y todavía está cayendo.","The second one ran to the gold and is still falling."
"Ustedes se agacharon a levantar a una persona herida.","You knelt down to lift up someone who was hurt."
"Guío al minero honrado y despeño al codicioso. Ese es todo mi oficio.","I guide the honest miner and cast down the greedy one. That is my whole trade."
"Toma mis alas, Emilia. Que te sostengan donde la roca se acabe.","Take my wings, Emilia. May they hold you where the rock ends."
"...Puedo sentirlo. Como si el aire pesara menos.","...I can feel it. As if the air weighed less."
"¡Bienvenidos a la Fiesta de La Tirana! Una celebración sagrada del norte.","Welcome to the Festival of La Tirana! A sacred celebration of the north."
"Hablen con la gente del pueblo, Ellos les daran información de la fiesta.","Talk to the townspeople. They'll tell you about the festival."
"Yo tengo algo que hacer en la iglesia. Después los busco.","I have something to do at the church. I'll find you afterwards."
"Sigan explorando la fiesta. Aún hay más que descubrir.","Keep exploring the festival. There's still more to discover."
"Veo que ya saben quién soy. Está bien... Soy La Tirana.","I see you already know who I am. Very well... I am La Tirana."
"Aquí está tu don, guerrera. Emilia: COMBO de cuatro golpes. Benjamín: FLECHA TRIPLE (tecla F, gasta energía).","Here is your gift, warrior. Emilia: a four-hit COMBO. Benjamín: TRIPLE ARROW (F key, uses energy)."
"El paso del norte los espera.","The northern pass awaits you."
"Ya tienen su don.","You already have your gift."
"Bienvenidos al volcán Isluga. Soy su guardián.","Welcome to the Isluga volcano. I am its guardian."
"Han cruzado la prueba del volcan. Activare este punto para que puedan volver.","You have passed the volcano's trial. I will activate this point so you can return."
"Pueden consultar el mapa de los volcanes sagrados.","You may consult the map of the sacred volcanoes."
"El mapa los guía. Viajen a donde el fuego los llame.","The map guides you. Travel wherever the fire calls you."
"Han alcanzado la cima del Ojos del Salado. Soy su guardián.","You have reached the summit of Ojos del Salado. I am its guardian."
"El camino entre los volcanes sagrados está abierto para ustedes.","The path between the sacred volcanoes is open to you."
"El volcán Isluga al norte los conoce. Ya pueden viajar entre ambos.","The Isluga volcano to the north knows you. You may now travel between them."
"El vínculo entre los volcanes permanece. Viajen cuando lo necesiten.","The bond between the volcanoes remains. Travel whenever you need to."
"¿Escuchaste eso?","Did you hear that?"
"Sí... ¿Y esas marcas en las paredes? Son garras.","Yes... And those marks on the walls? They're claws."
"Sea lo que sea, está muy cerca.","Whatever it is, it's very close."
"Salud. Acá no se habla de la mina, ¿estamos?","Cheers. We don't talk about the mine here, understood?"
"Lo que sea que hayan visto abajo, déjenlo abajo.","Whatever you saw down there, leave it down there."
"Desde hace unos dias estan pasando cosas muy raras.","Very strange things have been happening these past few days."
"Me han dicho mis conocidos que estan viendo seres miticos.","People I know say they're seeing mythical creatures."
"A mi Tambien me han dicho lo mismo, es muy extraño.","I've been told the same thing. It's very strange."
"Algo debio pasar.","Something must have happened."
"...y yo te digo que están locos. Nadie provoca al Yastay y vive para contarlo.","...and I'm telling you they're crazy. Nobody provokes the Yastay and lives to tell the tale."
"Perdón. ¿Quién está provocando al Yastay?","Excuse me. Who's provoking the Yastay?"
"Cazadores. Bajaron de la cordillera hace una semana.","Hunters. They came down from the mountains a week ago."
"Le están carneando los guanacos de a uno para sacarlo de la quebrada.","They're butchering his guanacos one by one to draw him out of the ravine."
"Lo quieren en la pampa alta, donde no tenga dónde esconderse. Ahí lo atrapan.","They want him up on the high plain, where he has nowhere to hide. That's where they'll trap him."
"¿Y nadie hace nada?","And nobody does anything?"
"¿Tu te atreverias? Si se animan, es camino al norte. Que la Virgen los acompañe.","Would you dare? If you're up for it, it's the road north. May the Virgin go with you."
"Desde que volvieron de los volcanes la gente anda rara.","Since they came back from the volcanoes, people have been acting strange."
"Como si siempre hubiera alguien escuchando de más.","As if someone were always listening in."
"Emilia. La del bar.","Emilia. The woman from the bar."
"Estuvo ahí sentada todo el rato. Escuchando cada palabra.","She sat there the whole time. Listening to every word."
"¡Eh! ¡Vos!","Hey! You!"
"Se va. Sin apurarse, como si nada.","She's leaving. Without hurrying, as if nothing happened."
